City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
263,Camacha,PT,65.62,33.0833,-16.3333,Hotel Porto Santo & Spa
265,Ribeira Grande,PT,67.05,38.5167,-28.7,Quinta da Meia Eira
273,Simpang,ID,72.41,-1.2667,104.0833,
281,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
282,Port Hardy,CA,62.78,50.6996,-127.4199,Airport Inn-Port Hardy
284,Homer,US,64.8,59.6425,-151.5483,Beluga Lake Lodge
294,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
296,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
300,Loanda,AO,68.0,-8.8368,13.2343,EPIC SANA Luanda
307,Horta,PT,66.33,38.5333,-28.6333,Hotel do Canal | Horta - Faial
309,Kirya,TZ,62.98,-3.9167,37.4833,
311,Campo Verde,BR,72.46,-20.4167,-54.0667,
314,Ponta Do Sol,PT,70.43,32.6667,-17.1,Hotel do Campo
321,Kolarovo,SK,62.82,47.9229,17.9847,Penzión Fialový Dom
322,Port Elizabeth,ZA,62.89,-33.918,25.5701,39 On Nile Guest House
326,Presidencia Roque Saenz Pena,AR,62.91,-26.7852,-60.4388,Hotel Gualok
330,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
338,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
339,East London,ZA,70.48,-33.0153,27.9116,Tu Casa
342,Gamba,GA,70.38,-2.65,10.0,
350,Saint-Philippe,RE,67.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
351,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
365,Faya,SA,72.12,18.3851,42.4509,املاك خالد الشعشوع
366,Ivanteyevka,RU,66.74,55.9711,37.9208,New Slides
369,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
376,Kununurra,AU,62.58,-15.7667,128.7333,Hotel Kununurra
384,Verkhoyansk,RU,70.88,67.5447,133.385,
388,Port Elizabeth,ZA,62.89,-33.918,25.5701,39 On Nile Guest House
403,Balkhash,KZ,68.65,46.844,74.9804,Family
405,Nikolskoye,RU,69.69,59.7035,30.7861,Tourist House - Sablino
409,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
410,Pisco,PE,66.25,-13.7,-76.2167,Hotel San Isidro Oficial
415,Ponta Do Sol,PT,70.43,32.6667,-17.1,Hotel do Campo
420,Dossor,KZ,65.62,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
430,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
435,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
440,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
444,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
445,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
458,Ribeira Grande,PT,67.05,38.5167,-28.7,Quinta da Meia Eira
466,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
467,Domna,RU,68.16,51.8971,113.1573,
468,Pisco,PE,66.25,-13.7,-76.2167,Hotel San Isidro Oficial
473,Bemidji,US,72.91,47.4736,-94.8803,Hampton Inn & Suites Bemidji
481,Asfi,MA,68.31,32.2994,-9.2372,Hôtel Abda
496,Pingliang,CN,66.51,35.5392,106.6861,North Gate Hostel
497,Mahebourg,MU,71.89,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
498,Sao Joao Da Barra,BR,72.1,-21.6403,-41.0511,Pousada Porto De Canoas
499,Marawi,PH,71.89,7.9986,124.2928,Derogongan Residence
500,Torbay,CA,70.57,47.6666,-52.7314,Gallows Cove
502,Sechura,PE,69.51,-5.5569,-80.8222,Hospedaje Costa Bella
509,Hohhot,CN,64.69,40.8106,111.6522,Sheraton Hohhot Hotel
514,Yambio,SS,66.65,4.5721,28.3955,Naivasha Hotel
515,Assiniboia,CA,73.22,49.6334,-105.9845,Canalta Hotel Assiniboia
525,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
528,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
531,San Quintin,MX,73.58,30.4833,-115.95,Don Eddie's Sport Fishing Center
540,Saint-Joseph,RE,66.58,-21.3667,55.6167,"""Plantation Bed and Breakfast"
542,Nikolskoye,RU,69.69,59.7035,30.7861,Tourist House - Sablino
543,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
552,Nikolskoye,RU,69.69,59.7035,30.7861,Tourist House - Sablino
566,Ribeira Grande,PT,67.05,38.5167,-28.7,Quinta da Meia Eira
568,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
570,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
572,Namibe,AO,66.2,-15.1961,12.1522,Hotel Chik Chik Namibe
573,East London,ZA,70.48,-33.0153,27.9116,Tu Casa
574,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
580,Povarovo,RU,65.82,56.0667,37.05,"Zagorodnyy Uchebno-Ozdorovitel'nyy Kompleks ""Solnechnyy"" - Filial Rankhigs"
582,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
589,Camacha,PT,65.62,33.0833,-16.3333,Hotel Porto Santo & Spa
592,Faya,SA,72.12,18.3851,42.4509,املاك خالد الشعشوع
605,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
615,Ribeira Grande,PT,67.05,38.5167,-28.7,Quinta da Meia Eira
619,Porto Belo,BR,68.25,-27.1578,-48.5531,Costa Verde Beach Hotel
621,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
633,Bereda,ES,62.42,43.2686,-7.5406,Pazo de Verdes
634,Langham,CA,66.02,52.3668,-106.9679,Shady Rest Motel
642,Lasa,IT,68.88,46.6166,10.7002,Pension Feldgärtenhof
643,Pisco,PE,66.25,-13.7,-76.2167,Hotel San Isidro Oficial
647,Powassan,CA,71.22,46.0334,-79.3496,Munro Park Campgrounds
648,Betong,TH,71.65,5.7743,101.0723,New Cathay Hotel
650,Vila Velha,BR,73.35,-20.3297,-40.2925,Hotel Vitória Palace
651,Sitka,US,62.49,57.0531,-135.33,Westmark Sitka
654,Nikolskoye,RU,69.69,59.7035,30.7861,Tourist House - Sablino
656,Wabana,CA,70.38,47.6332,-52.9481,Hotel Pavla
664,Kurumkan,RU,70.81,54.3,110.3,Ilikchin
673,Bolobo,CD,73.18,-2.1667,16.2333,Hotel de Stephen
674,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
677,East London,ZA,70.48,-33.0153,27.9116,Tu Casa
678,Gimli,CA,64.42,50.6336,-96.9907,Lakeview Gimli Resort
681,Amazar,RU,72.27,53.858,120.875,Гостиничный Комплекс Уют
683,Bambous Virieux,MU,71.85,-20.3428,57.7575,Casa Tia Villa
686,Saint-Philippe,RE,67.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
689,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
691,North Bend,US,66.24,43.4065,-124.2243,Red Lion Hotel Coos Bay
695,Quatre Cocos,MU,71.71,-20.2078,57.7625,Sunrise Attitude Hotel
697,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
703,Saint-Francois,FR,62.42,46.4154,3.9054,Manoir Du Bonheur
706,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
714,East London,ZA,70.48,-33.0153,27.9116,Tu Casa
730,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
731,Pisco,PE,66.25,-13.7,-76.2167,Hotel San Isidro Oficial
743,Moissac,FR,73.47,44.1024,1.0945,Hôtel & Spa Le Moulin De Moissac
753,Okhotsk,RU,63.18,59.3833,143.3,
755,East London,ZA,70.48,-33.0153,27.9116,Tu Casa
757,Torbay,CA,70.57,47.6666,-52.7314,Gallows Cove
759,Alyangula,AU,69.78,-13.8483,136.4192,Groote Eylandt Lodge
762,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
764,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
769,Zaozerne,UA,67.28,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
772,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
775,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
776,Ambilobe,MG,65.26,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
782,Yerbogachen,RU,63.63,61.2767,108.0108,
786,Rokytne,UA,64.4,51.2796,27.214,Затишок
791,Rabo De Peixe,PT,68.27,37.8,-25.5833,Quinta das Giestas
797,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
